,sents
2640,“I suppose we all know whom we mean to vote for.
2641,Any man who wants to do justice does not wait till the last minute to hear both sides of the question.
2642,"I have no time to lose, and I propose that the matter be put to the vote at once.”  A brief but still hot discussion followed before each person wrote “Tyke” or “Farebrother” on a piece of paper and slipped it into a glass tumbler; and in the mean time Mr. Bulstrode saw Lydgate enter."
2643,"“I perceive that the votes are equally divided at present,” said Mr. Bulstrode, in a clear biting voice."
2644,"Then, looking up at Lydgate—  “There is a casting-vote still to be given."
2645,"It is yours, Mr. Lydgate: will you be good enough to write?”  “The thing is settled now,” said Mr. Wrench, rising."
2646,"“We all know how Mr. Lydgate will vote.”  “You seem to speak with some peculiar meaning, sir,” said Lydgate, rather defiantly, and keeping his pencil suspended."
2647,“I merely mean that you are expected to vote with Mr. Bulstrode.
2648,Do you regard that meaning as offensive?”  “It may be offensive to others.
2649,But I shall not desist from voting with him on that account.” Lydgate immediately wrote down “Tyke.”  So the Rev.
2650,"Walter Tyke became chaplain to the Infirmary, and Lydgate continued to work with Mr. Bulstrode."
2651,"He was really uncertain whether Tyke were not the more suitable candidate, and yet his consciousness told him that if he had been quite free from indirect bias he should have voted for Mr. Farebrother."
2652,The affair of the chaplaincy remained a sore point in his memory as a case in which this petty medium of Middlemarch had been too strong for him.
2653,How could a man be satisfied with a decision between such alternatives and under such circumstances?
2654,"No more than he can be satisfied with his hat, which he has chosen from among such shapes as the resources of the age offer him, wearing it at best with a resignation which is chiefly supported by comparison."
2655,But Mr. Farebrother met him with the same friendliness as before.
2656,"The character of the publican and sinner is not always practically incompatible with that of the modern Pharisee, for the majority of us scarcely see more distinctly the faultiness of our own conduct than the faultiness of our own arguments, or the dulness of our own jokes."
2657,"But the Vicar of St. Botolph’s had certainly escaped the slightest tincture of the Pharisee, and by dint of admitting to himself that he was too much as other men were, he had become remarkably unlike them in this—that he could excuse others for thinking slightly of him, and could judge impartially of their conduct even when it told against him."
2658,"“The world has been too strong for me, I know,” he said one day to Lydgate."
2659,“But then I am not a mighty man—I shall never be a man of renown.
2660,"The choice of Hercules is a pretty fable; but Prodicus makes it easy work for the hero, as if the first resolves were enough."
2661,"Another story says that he came to hold the distaff, and at last wore the Nessus shirt."
2662,"I suppose one good resolve might keep a man right if everybody else’s resolve helped him.”  The Vicar’s talk was not always inspiriting: he had escaped being a Pharisee, but he had not escaped that low estimate of possibilities which we rather hastily arrive at as an inference from our own failure."
2663,Lydgate thought that there was a pitiable infirmity of will in Mr. Farebrother.
2664," “L’ altra vedete ch’ha fatto alla guancia Della sua palma, sospirando, letto.” —Purgatorio, vii."
2665,"When George the Fourth was still reigning over the privacies of Windsor, when the Duke of Wellington was Prime Minister, and Mr. Vincy was mayor of the old corporation in Middlemarch, Mrs. Casaubon, born Dorothea Brooke, had taken her wedding journey to Rome."
2666,In those days the world in general was more ignorant of good and evil by forty years than it is at present.
2667,Travellers did not often carry full information on Christian art either in their heads or their pockets; and even the most brilliant English critic of the day mistook the flower-flushed tomb of the ascended Virgin for an ornamental vase due to the painter’s fancy.
2668,"Romanticism, which has helped to fill some dull blanks with love and knowledge, had not yet penetrated the times with its leaven and entered into everybody’s food; it was fermenting still as a distinguishable vigorous enthusiasm in certain long-haired German artists at Rome, and the youth of other nations who worked or idled near them were sometimes caught in the spreading movement."
2669,"One fine morning a young man whose hair was not immoderately long, but abundant and curly, and who was otherwise English in his equipment, had just turned his back on the Belvedere Torso in the Vatican and was looking out on the magnificent view of the mountains from the adjoining round vestibule."
2670,"He was sufficiently absorbed not to notice the approach of a dark-eyed, animated German who came up to him and placing a hand on his shoulder, said with a strong accent, “Come here, quick!"
2671,"else she will have changed her pose.”  Quickness was ready at the call, and the two figures passed lightly along by the Meleager, towards the hall where the reclining Ariadne, then called the Cleopatra, lies in the marble voluptuousness of her beauty, the drapery folding around her with a petal-like ease and tenderness."
2672,"They were just in time to see another figure standing against a pedestal near the reclining marble: a breathing blooming girl, whose form, not shamed by the Ariadne, was clad in Quakerish gray drapery; her long cloak, fastened at the neck, was thrown backward from her arms, and one beautiful ungloved hand pillowed her cheek, pushing somewhat backward the white beaver bonnet which made a sort of halo to her face around the simply braided dark-brown hair."
2673,"She was not looking at the sculpture, probably not thinking of it: her large eyes were fixed dreamily on a streak of sunlight which fell across the floor."
2674,"But she became conscious of the two strangers who suddenly paused as if to contemplate the Cleopatra, and, without looking at them, immediately turned away to join a maid-servant and courier who were loitering along the hall at a little distance off."
2675,"“What do you think of that for a fine bit of antithesis?” said the German, searching in his friend’s face for responding admiration, but going on volubly without waiting for any other answer."
2676,"“There lies antique beauty, not corpse-like even in death, but arrested in the complete contentment of its sensuous perfection: and here stands beauty in its breathing life, with the consciousness of Christian centuries in its bosom."
2677,But she should be dressed as a nun; I think she looks almost what you call a Quaker; I would dress her as a nun in my picture.
2678,"However, she is married; I saw her wedding-ring on that wonderful left hand, otherwise I should have thought the sallow Geistlicher was her father."
2679,"I saw him parting from her a good while ago, and just now I found her in that magnificent pose."
2680,Only think!
2681,"he is perhaps rich, and would like to have her portrait taken."
2682,Ah!
2683,it is no use looking after her—there she goes!
2684,"Let us follow her home!”  “No, no,” said his companion, with a little frown."
2685,"“You are singular, Ladislaw."
2686,You look struck together.
2687,"Do you know her?”  “I know that she is married to my cousin,” said Will Ladislaw, sauntering down the hall with a preoccupied air, while his German friend kept at his side and watched him eagerly."
2688,“What!
2689,the Geistlicher?
2690,He looks more like an uncle—a more useful sort of relation.”  “He is not my uncle.
2691,"I tell you he is my second cousin,” said Ladislaw, with some irritation."
2692,"“Schön, schön."
2693,Don’t be snappish.
2694,You are not angry with me for thinking Mrs. Second-Cousin the most perfect young Madonna I ever saw?”  “Angry?
2695,nonsense.
2696,"I have only seen her once before, for a couple of minutes, when my cousin introduced her to me, just before I left England."
2697,They were not married then.
2698,I didn’t know they were coming to Rome.”  “But you will go to see them now—you will find out what they have for an address—since you know the name.
2699,Shall we go to the post?
2700,"And you could speak about the portrait.”  “Confound you, Naumann!"
2701,I don’t know what I shall do.
2702,I am not so brazen as you.”  “Bah!
2703,that is because you are dilettantish and amateurish.
2704,"If you were an artist, you would think of Mistress Second-Cousin as antique form animated by Christian sentiment—a sort of Christian Antigone—sensuous force controlled by spiritual passion.”  “Yes, and that your painting her was the chief outcome of her existence—the divinity passing into higher completeness and all but exhausted in the act of covering your bit of canvas."
2705,"I am amateurish if you like: I do not think that all the universe is straining towards the obscure significance of your pictures.”  “But it is, my dear!—so far as it is straining through me, Adolf Naumann: that stands firm,” said the good-natured painter, putting a hand on Ladislaw’s shoulder, and not in the least disturbed by the unaccountable touch of ill-humor in his tone."
2706,“See now!
2707,My existence presupposes the existence of the whole universe—does it not?
2708,"and my function is to paint—and as a painter I have a conception which is altogether genialisch, of your great-aunt or second grandmother as a subject for a picture; therefore, the universe is straining towards that picture through that particular hook or claw which it puts forth in the shape of me—not true?”  “But how if another claw in the shape of me is straining to thwart it?—the case is a little less simple then.”  “Not at all: the result of the struggle is the same thing—picture or no picture—logically.”  Will could not resist this imperturbable temper, and the cloud in his face broke into sunshiny laughter."
2709,"“Come now, my friend—you will help?” said Naumann, in a hopeful tone."
2710,"“No; nonsense, Naumann!"
2711,English ladies are not at everybody’s service as models.
2712,And you want to express too much with your painting.
2713,You would only have made a better or worse portrait with a background which every connoisseur would give a different reason for or against.
2714,And what is a portrait of a woman?
2715,Your painting and Plastik are poor stuff after all.
2716,They perturb and dull conceptions instead of raising them.
2717,"Language is a finer medium.”  “Yes, for those who can’t paint,” said Naumann."
2718,“There you have perfect right.
2719,"I did not recommend you to paint, my friend.”  The amiable artist carried his sting, but Ladislaw did not choose to appear stung."
2720,He went on as if he had not heard.
2721,"“Language gives a fuller image, which is all the better for being vague."
2722,"After all, the true seeing is within; and painting stares at you with an insistent imperfection."
2723,I feel that especially about representations of women.
2724,As if a woman were a mere colored superficies!
2725,You must wait for movement and tone.
2726,"There is a difference in their very breathing: they change from moment to moment.—This woman whom you have just seen, for example: how would you paint her voice, pray?"
2727,"But her voice is much diviner than anything you have seen of her.”  “I see, I see."
2728,You are jealous.
2729,No man must presume to think that he can paint your ideal.
2730,"This is serious, my friend!"
2731,Your great-aunt!
2732,"‘Der Neffe als Onkel’ in a tragic sense—ungeheuer!”  “You and I shall quarrel, Naumann, if you call that lady my aunt again.”  “How is she to be called then?”  “Mrs."
2733,Casaubon.”  “Good.
2734,"Suppose I get acquainted with her in spite of you, and find that she very much wishes to be painted?”  “Yes, suppose!” said Will Ladislaw, in a contemptuous undertone, intended to dismiss the subject."
2735,"He was conscious of being irritated by ridiculously small causes, which were half of his own creation."
2736,Why was he making any fuss about Mrs. Casaubon?
2737,And yet he felt as if something had happened to him with regard to her.
2738,There are characters which are continually creating collisions and nodes for themselves in dramas which nobody is prepared to act with them.
2739,Their susceptibilities will clash against objects that remain innocently quiet.
2740," “A child forsaken, waking suddenly, Whose gaze afeard on all things round doth rove, And seeth only that it cannot see     The meeting eyes of love.”  Two hours later, Dorothea was seated in an inner room or boudoir of a handsome apartment in the Via Sistina."
2741,"I am sorry to add that she was sobbing bitterly, with such abandonment to this relief of an oppressed heart as a woman habitually controlled by pride on her own account and thoughtfulness for others will sometimes allow herself when she feels securely alone."
2742,And Mr. Casaubon was certain to remain away for some time at the Vatican.
2743,"Yet Dorothea had no distinctly shapen grievance that she could state even to herself; and in the midst of her confused thought and passion, the mental act that was struggling forth into clearness was a self-accusing cry that her feeling of desolation was the fault of her own spiritual poverty."
2744,"She had married the man of her choice, and with the advantage over most girls that she had contemplated her marriage chiefly as the beginning of new duties: from the very first she had thought of Mr. Casaubon as having a mind so much above her own, that he must often be claimed by studies which she could not entirely share; moreover, after the brief narrow experience of her girlhood she was beholding Rome, the city of visible history, where the past of a whole hemisphere seems moving in funeral procession with strange ancestral images and trophies gathered from afar."
2745,But this stupendous fragmentariness heightened the dreamlike strangeness of her bridal life.
2746,"Dorothea had now been five weeks in Rome, and in the kindly mornings when autumn and winter seemed to go hand in hand like a happy aged couple one of whom would presently survive in chiller loneliness, she had driven about at first with Mr. Casaubon, but of late chiefly with Tantripp and their experienced courier."
2747,"She had been led through the best galleries, had been taken to the chief points of view, had been shown the grandest ruins and the most glorious churches, and she had ended by oftenest choosing to drive out to the Campagna where she could feel alone with the earth and sky, away-from the oppressive masquerade of ages, in which her own life too seemed to become a masque with enigmatical costumes."
2748,"To those who have looked at Rome with the quickening power of a knowledge which breathes a growing soul into all historic shapes, and traces out the suppressed transitions which unite all contrasts, Rome may still be the spiritual centre and interpreter of the world."
2749,"But let them conceive one more historical contrast: the gigantic broken revelations of that Imperial and Papal city thrust abruptly on the notions of a girl who had been brought up in English and Swiss Puritanism, fed on meagre Protestant histories and on art chiefly of the hand-screen sort; a girl whose ardent nature turned all her small allowance of knowledge into principles, fusing her actions into their mould, and whose quick emotions gave the most abstract things the quality of a pleasure or a pain; a girl who had lately become a wife, and from the enthusiastic acceptance of untried duty found herself plunged in tumultuous preoccupation with her personal lot."
2750,The weight of unintelligible Rome might lie easily on bright nymphs to whom it formed a background for the brilliant picnic of Anglo-foreign society; but Dorothea had no such defence against deep impressions.
2751,"Ruins and basilicas, palaces and colossi, set in the midst of a sordid present, where all that was living and warm-blooded seemed sunk in the deep degeneracy of a superstition divorced from reverence; the dimmer but yet eager Titanic life gazing and struggling on walls and ceilings; the long vistas of white forms whose marble eyes seemed to hold the monotonous light of an alien world: all this vast wreck of ambitious ideals, sensuous and spiritual, mixed confusedly with the signs of breathing forgetfulness and degradation, at first jarred her as with an electric shock, and then urged themselves on her with that ache belonging to a glut of confused ideas which check the flow of emotion."
2752,"Forms both pale and glowing took possession of her young sense, and fixed themselves in her memory even when she was not thinking of them, preparing strange associations which remained through her after-years."
2753,"Our moods are apt to bring with them images which succeed each other like the magic-lantern pictures of a doze; and in certain states of dull forlornness Dorothea all her life continued to see the vastness of St. Peter’s, the huge bronze canopy, the excited intention in the attitudes and garments of the prophets and evangelists in the mosaics above, and the red drapery which was being hung for Christmas spreading itself everywhere like a disease of the retina."
2754,"Not that this inward amazement of Dorothea’s was anything very exceptional: many souls in their young nudity are tumbled out among incongruities and left to “find their feet” among them, while their elders go about their business."
2755,"Nor can I suppose that when Mrs. Casaubon is discovered in a fit of weeping six weeks after her wedding, the situation will be regarded as tragic."
2756,"Some discouragement, some faintness of heart at the new real future which replaces the imaginary, is not unusual, and we do not expect people to be deeply moved by what is not unusual."
2757,"That element of tragedy which lies in the very fact of frequency, has not yet wrought itself into the coarse emotion of mankind; and perhaps our frames could hardly bear much of it."
2758,"If we had a keen vision and feeling of all ordinary human life, it would be like hearing the grass grow and the squirrel’s heart beat, and we should die of that roar which lies on the other side of silence."
2759,"As it is, the quickest of us walk about well wadded with stupidity."
2760,"However, Dorothea was crying, and if she had been required to state the cause, she could only have done so in some such general words as I have already used: to have been driven to be more particular would have been like trying to give a history of the lights and shadows, for that new real future which was replacing the imaginary drew its material from the endless minutiae by which her view of Mr. Casaubon and her wifely relation, now that she was married to him, was gradually changing with the secret motion of a watch-hand from what it had been in her maiden dream."
2761,"It was too early yet for her fully to recognize or at least admit the change, still more for her to have readjusted that devotedness which was so necessary a part of her mental life that she was almost sure sooner or later to recover it."
2762,"Permanent rebellion, the disorder of a life without some loving reverent resolve, was not possible to her; but she was now in an interval when the very force of her nature heightened its confusion."
2763,"In this way, the early months of marriage often are times of critical tumult—whether that of a shrimp-pool or of deeper waters—which afterwards subsides into cheerful peace."
2764,But was not Mr. Casaubon just as learned as before?
2765,"Had his forms of expression changed, or his sentiments become less laudable?"
2766,Oh waywardness of womanhood!
2767,"did his chronology fail him, or his ability to state not only a theory but the names of those who held it; or his provision for giving the heads of any subject on demand?"
2768,And was not Rome the place in all the world to give free play to such accomplishments?
2769,"Besides, had not Dorothea’s enthusiasm especially dwelt on the prospect of relieving the weight and perhaps the sadness with which great tasks lie on him who has to achieve them?— And that such weight pressed on Mr. Casaubon was only plainer than before."
2770,"All these are crushing questions; but whatever else remained the same, the light had changed, and you cannot find the pearly dawn at noonday."
2771,"The fact is unalterable, that a fellow-mortal with whose nature you are acquainted solely through the brief entrances and exits of a few imaginative weeks called courtship, may, when seen in the continuity of married companionship, be disclosed as something better or worse than what you have preconceived, but will certainly not appear altogether the same."
2772,And it would be astonishing to find how soon the change is felt if we had no kindred changes to compare with it.
2773,"To share lodgings with a brilliant dinner-companion, or to see your favorite politician in the Ministry, may bring about changes quite as rapid: in these cases too we begin by knowing little and believing much, and we sometimes end by inverting the quantities."
2774,"Still, such comparisons might mislead, for no man was more incapable of flashy make-believe than Mr. Casaubon: he was as genuine a character as any ruminant animal, and he had not actively assisted in creating any illusions about himself."
2775,"How was it that in the weeks since her marriage, Dorothea had not distinctly observed but felt with a stifling depression, that the large vistas and wide fresh air which she had dreamed of finding in her husband’s mind were replaced by anterooms and winding passages which seemed to lead nowhither?"
2776,"I suppose it was that in courtship everything is regarded as provisional and preliminary, and the smallest sample of virtue or accomplishment is taken to guarantee delightful stores which the broad leisure of marriage will reveal."
2777,"But the door-sill of marriage once crossed, expectation is concentrated on the present."
2778,"Having once embarked on your marital voyage, it is impossible not to be aware that you make no way and that the sea is not within sight—that, in fact, you are exploring an enclosed basin."
2779,"In their conversation before marriage, Mr. Casaubon had often dwelt on some explanation or questionable detail of which Dorothea did not see the bearing; but such imperfect coherence seemed due to the brokenness of their intercourse, and, supported by her faith in their future, she had listened with fervid patience to a recitation of possible arguments to be brought against Mr. Casaubon’s entirely new view of the Philistine god Dagon and other fish-deities, thinking that hereafter she should see this subject which touched him so nearly from the same high ground whence doubtless it had become so important to him."
2780,"Again, the matter-of-course statement and tone of dismissal with which he treated what to her were the most stirring thoughts, was easily accounted for as belonging to the sense of haste and preoccupation in which she herself shared during their engagement."
2781,"But now, since they had been in Rome, with all the depths of her emotion roused to tumultuous activity, and with life made a new problem by new elements, she had been becoming more and more aware, with a certain terror, that her mind was continually sliding into inward fits of anger and repulsion, or else into forlorn weariness."
2782,"How far the judicious Hooker or any other hero of erudition would have been the same at Mr. Casaubon’s time of life, she had no means of knowing, so that he could not have the advantage of comparison; but her husband’s way of commenting on the strangely impressive objects around them had begun to affect her with a sort of mental shiver: he had perhaps the best intention of acquitting himself worthily, but only of acquitting himself."
2783,"What was fresh to her mind was worn out to his; and such capacity of thought and feeling as had ever been stimulated in him by the general life of mankind had long shrunk to a sort of dried preparation, a lifeless embalmment of knowledge."
2784,"When he said, “Does this interest you, Dorothea?"
2785,Shall we stay a little longer?
2786,"I am ready to stay if you wish it,”—it seemed to her as if going or staying were alike dreary."
2787,"Or, “Should you like to go to the Farnesina, Dorothea?"
2788,"It contains celebrated frescos designed or painted by Raphael, which most persons think it worth while to visit.”  “But do you care about them?” was always Dorothea’s question."
2789,"“They are, I believe, highly esteemed."
2790,"Some of them represent the fable of Cupid and Psyche, which is probably the romantic invention of a literary period, and cannot, I think, be reckoned as a genuine mythical product."
2791,"But if you like these wall-paintings we can easily drive thither; and you will then, I think, have seen the chief works of Raphael, any of which it were a pity to omit in a visit to Rome."
2792,He is the painter who has been held to combine the most complete grace of form with sublimity of expression.
2793,"Such at least I have gathered to be the opinion of cognoscenti.”  This kind of answer given in a measured official tone, as of a clergyman reading according to the rubric, did not help to justify the glories of the Eternal City, or to give her the hope that if she knew more about them the world would be joyously illuminated for her."
2794,There is hardly any contact more depressing to a young ardent creature than that of a mind in which years full of knowledge seem to have issued in a blank absence of interest or sympathy.
2795,"On other subjects indeed Mr. Casaubon showed a tenacity of occupation and an eagerness which are usually regarded as the effect of enthusiasm, and Dorothea was anxious to follow this spontaneous direction of his thoughts, instead of being made to feel that she dragged him away from it."
2796,But she was gradually ceasing to expect with her former delightful confidence that she should see any wide opening where she followed him.
2797,"Poor Mr. Casaubon himself was lost among small closets and winding stairs, and in an agitated dimness about the Cabeiri, or in an exposure of other mythologists’ ill-considered parallels, easily lost sight of any purpose which had prompted him to these labors."
2798,"With his taper stuck before him he forgot the absence of windows, and in bitter manuscript remarks on other men’s notions about the solar deities, he had become indifferent to the sunlight."
2799,"These characteristics, fixed and unchangeable as bone in Mr. Casaubon, might have remained longer unfelt by Dorothea if she had been encouraged to pour forth her girlish and womanly feeling—if he would have held her hands between his and listened with the delight of tenderness and understanding to all the little histories which made up her experience, and would have given her the same sort of intimacy in return, so that the past life of each could be included in their mutual knowledge and affection—or if she could have fed her affection with those childlike caresses which are the bent of every sweet woman, who has begun by showering kisses on the hard pate of her bald doll, creating a happy soul within that woodenness from the wealth of her own love."
2800,That was Dorothea’s bent.
2801,"With all her yearning to know what was afar from her and to be widely benignant, she had ardor enough for what was near, to have kissed Mr. Casaubon’s coat-sleeve, or to have caressed his shoe-latchet, if he would have made any other sign of acceptance than pronouncing her, with his unfailing propriety, to be of a most affectionate and truly feminine nature, indicating at the same time by politely reaching a chair for her that he regarded these manifestations as rather crude and startling."
2802,"Having made his clerical toilet with due care in the morning, he was prepared only for those amenities of life which were suited to the well-adjusted stiff cravat of the period, and to a mind weighted with unpublished matter."
2803,And by a sad contradiction Dorothea’s ideas and resolves seemed like melting ice floating and lost in the warm flood of which they had been but another form.
2804,"She was humiliated to find herself a mere victim of feeling, as if she could know nothing except through that medium: all her strength was scattered in fits of agitation, of struggle, of despondency, and then again in visions of more complete renunciation, transforming all hard conditions into duty."
2805,Poor Dorothea!
2806,she was certainly troublesome—to herself chiefly; but this morning for the first time she had been troublesome to Mr. Casaubon.
2807,"She had begun, while they were taking coffee, with a determination to shake off what she inwardly called her selfishness, and turned a face all cheerful attention to her husband when he said, “My dear Dorothea, we must now think of all that is yet left undone, as a preliminary to our departure."
2808,I would fain have returned home earlier that we might have been at Lowick for the Christmas; but my inquiries here have been protracted beyond their anticipated period.
2809,"I trust, however, that the time here has not been passed unpleasantly to you."
2810,"Among the sights of Europe, that of Rome has ever been held one of the most striking and in some respects edifying."
2811,"I well remember that I considered it an epoch in my life when I visited it for the first time; after the fall of Napoleon, an event which opened the Continent to travellers."
2812,"Indeed I think it is one among several cities to which an extreme hyperbole has been applied—‘See Rome and die:’ but in your case I would propose an emendation and say, See Rome as a bride, and live henceforth as a happy wife.”  Mr. Casaubon pronounced this little speech with the most conscientious intention, blinking a little and swaying his head up and down, and concluding with a smile."
2813,"He had not found marriage a rapturous state, but he had no idea of being anything else than an irreproachable husband, who would make a charming young woman as happy as she deserved to be."
2814,"“I hope you are thoroughly satisfied with our stay—I mean, with the result so far as your studies are concerned,” said Dorothea, trying to keep her mind fixed on what most affected her husband."
2815,"“Yes,” said Mr. Casaubon, with that peculiar pitch of voice which makes the word half a negative."
2816,"“I have been led farther than I had foreseen, and various subjects for annotation have presented themselves which, though I have no direct need of them, I could not pretermit."
2817,"The task, notwithstanding the assistance of my amanuensis, has been a somewhat laborious one, but your society has happily prevented me from that too continuous prosecution of thought beyond the hours of study which has been the snare of my solitary life.”  “I am very glad that my presence has made any difference to you,” said Dorothea, who had a vivid memory of evenings in which she had supposed that Mr. Casaubon’s mind had gone too deep during the day to be able to get to the surface again."
2818,I fear there was a little temper in her reply.
2819,"“I hope when we get to Lowick, I shall be more useful to you, and be able to enter a little more into what interests you.”  “Doubtless, my dear,” said Mr. Casaubon, with a slight bow."
2820,"“The notes I have here made will want sifting, and you can, if you please, extract them under my direction.”  “And all your notes,” said Dorothea, whose heart had already burned within her on this subject, so that now she could not help speaking with her tongue."
2821,"“All those rows of volumes—will you not now do what you used to speak of?—will you not make up your mind what part of them you will use, and begin to write the book which will make your vast knowledge useful to the world?"
2822,"I will write to your dictation, or I will copy and extract what you tell me: I can be of no other use.” Dorothea, in a most unaccountable, darkly feminine manner, ended with a slight sob and eyes full of tears."
2823,"The excessive feeling manifested would alone have been highly disturbing to Mr. Casaubon, but there were other reasons why Dorothea’s words were among the most cutting and irritating to him that she could have been impelled to use."
2824,She was as blind to his inward troubles as he to hers: she had not yet learned those hidden conflicts in her husband which claim our pity.
2825,"She had not yet listened patiently to his heartbeats, but only felt that her own was beating violently."
2826,"In Mr. Casaubon’s ear, Dorothea’s voice gave loud emphatic iteration to those muffled suggestions of consciousness which it was possible to explain as mere fancy, the illusion of exaggerated sensitiveness: always when such suggestions are unmistakably repeated from without, they are resisted as cruel and unjust."
2827,"We are angered even by the full acceptance of our humiliating confessions—how much more by hearing in hard distinct syllables from the lips of a near observer, those confused murmurs which we try to call morbid, and strive against as if they were the oncoming of numbness!"
2828,"And this cruel outward accuser was there in the shape of a wife—nay, of a young bride, who, instead of observing his abundant pen-scratches and amplitude of paper with the uncritical awe of an elegant-minded canary-bird, seemed to present herself as a spy watching everything with a malign power of inference."
2829,"Here, towards this particular point of the compass, Mr. Casaubon had a sensitiveness to match Dorothea’s, and an equal quickness to imagine more than the fact."
2830,"He had formerly observed with approbation her capacity for worshipping the right object; he now foresaw with sudden terror that this capacity might be replaced by presumption, this worship by the most exasperating of all criticism,—that which sees vaguely a great many fine ends, and has not the least notion what it costs to reach them."
2831,"For the first time since Dorothea had known him, Mr. Casaubon’s face had a quick angry flush upon it."
2832,"“My love,” he said, with irritation reined in by propriety, “you may rely upon me for knowing the times and the seasons, adapted to the different stages of a work which is not to be measured by the facile conjectures of ignorant onlookers."
2833,"It had been easy for me to gain a temporary effect by a mirage of baseless opinion; but it is ever the trial of the scrupulous explorer to be saluted with the impatient scorn of chatterers who attempt only the smallest achievements, being indeed equipped for no other."
2834,"And it were well if all such could be admonished to discriminate judgments of which the true subject-matter lies entirely beyond their reach, from those of which the elements may be compassed by a narrow and superficial survey.”  This speech was delivered with an energy and readiness quite unusual with Mr. Casaubon."
2835,"It was not indeed entirely an improvisation, but had taken shape in inward colloquy, and rushed out like the round grains from a fruit when sudden heat cracks it."
2836,Dorothea was not only his wife: she was a personification of that shallow world which surrounds the appreciated or desponding author.
2837,Dorothea was indignant in her turn.
2838,Had she not been repressing everything in herself except the desire to enter into some fellowship with her husband’s chief interests?
2839,"“My judgment was a very superficial one—such as I am capable of forming,” she answered, with a prompt resentment, that needed no rehearsal."
2840,“You showed me the rows of notebooks—you have often spoken of them—you have often said that they wanted digesting.
2841,But I never heard you speak of the writing that is to be published.
2842,"Those were very simple facts, and my judgment went no farther."
2843,"I only begged you to let me be of some good to you.”  Dorothea rose to leave the table and Mr. Casaubon made no reply, taking up a letter which lay beside him as if to reperuse it."
2844,Both were shocked at their mutual situation—that each should have betrayed anger towards the other.
2845,"If they had been at home, settled at Lowick in ordinary life among their neighbors, the clash would have been less embarrassing: but on a wedding journey, the express object of which is to isolate two people on the ground that they are all the world to each other, the sense of disagreement is, to say the least, confounding and stultifying."
2846,"To have changed your longitude extensively and placed yourselves in a moral solitude in order to have small explosions, to find conversation difficult and to hand a glass of water without looking, can hardly be regarded as satisfactory fulfilment even to the toughest minds."
2847,"To Dorothea’s inexperienced sensitiveness, it seemed like a catastrophe, changing all prospects; and to Mr. Casaubon it was a new pain, he never having been on a wedding journey before, or found himself in that close union which was more of a subjection than he had been able to imagine, since this charming young bride not only obliged him to much consideration on her behalf (which he had sedulously given), but turned out to be capable of agitating him cruelly just where he most needed soothing."
2848,"Instead of getting a soft fence against the cold, shadowy, unapplausive audience of his life, had he only given it a more substantial presence?"
2849,Neither of them felt it possible to speak again at present.
2850,"To have reversed a previous arrangement and declined to go out would have been a show of persistent anger which Dorothea’s conscience shrank from, seeing that she already began to feel herself guilty."
2851,"However just her indignation might be, her ideal was not to claim justice, but to give tenderness."
2852,"So when the carriage came to the door, she drove with Mr. Casaubon to the Vatican, walked with him through the stony avenue of inscriptions, and when she parted with him at the entrance to the Library, went on through the Museum out of mere listlessness as to what was around her."
2853,She had not spirit to turn round and say that she would drive anywhere.
2854,"It was when Mr. Casaubon was quitting her that Naumann had first seen her, and he had entered the long gallery of sculpture at the same time with her; but here Naumann had to await Ladislaw with whom he was to settle a bet of champagne about an enigmatical mediaeval-looking figure there."
2855,"After they had examined the figure, and had walked on finishing their dispute, they had parted, Ladislaw lingering behind while Naumann had gone into the Hall of Statues where he again saw Dorothea, and saw her in that brooding abstraction which made her pose remarkable."
2856,She did not really see the streak of sunlight on the floor more than she saw the statues: she was inwardly seeing the light of years to come in her own home and over the English fields and elms and hedge-bordered highroads; and feeling that the way in which they might be filled with joyful devotedness was not so clear to her as it had been.
2857,"But in Dorothea’s mind there was a current into which all thought and feeling were apt sooner or later to flow—the reaching forward of the whole consciousness towards the fullest truth, the least partial good."
2858,There was clearly something better than anger and despondency.
2859," “Hire facounde eke full womanly and plain, No contrefeted termes had she To semen wise.” —CHAUCER."
2860,It was in that way Dorothea came to be sobbing as soon as she was securely alone.
2861,"But she was presently roused by a knock at the door, which made her hastily dry her eyes before saying, “Come in.” Tantripp had brought a card, and said that there was a gentleman waiting in the lobby."
2862,"The courier had told him that only Mrs. Casaubon was at home, but he said he was a relation of Mr. Casaubon’s: would she see him?"
2863,"“Yes,” said Dorothea, without pause; “show him into the salon.” Her chief impressions about young Ladislaw were that when she had seen him at Lowick she had been made aware of Mr. Casaubon’s generosity towards him, and also that she had been interested in his own hesitation about his career."
2864,"She was alive to anything that gave her an opportunity for active sympathy, and at this moment it seemed as if the visit had come to shake her out of her self-absorbed discontent—to remind her of her husband’s goodness, and make her feel that she had now the right to be his helpmate in all kind deeds."
2865,"She waited a minute or two, but when she passed into the next room there were just signs enough that she had been crying to make her open face look more youthful and appealing than usual."
2866,"She met Ladislaw with that exquisite smile of good-will which is unmixed with vanity, and held out her hand to him."
2867,"He was the elder by several years, but at that moment he looked much the younger, for his transparent complexion flushed suddenly, and he spoke with a shyness extremely unlike the ready indifference of his manner with his male companion, while Dorothea became all the calmer with a wondering desire to put him at ease."
2868,"“I was not aware that you and Mr. Casaubon were in Rome, until this morning, when I saw you in the Vatican Museum,” he said."
